index_column,time,dt,yaw,pitch,roll,displacement_north,displacement_east,altitude_geometric,geodetic_lat
0,0,9.39999999900465e-05,0,0,0,0,0,0,-36.4823
1,9.39999999900465e-05,8.40000000152941e-05,0,0,0,0,0,0,-36.4823
2,0.000178000000005341,5.59999999723004e-05,-5.06265506484794e-08,-5.06265506484794e-08,-5.06265506484794e-08,0,0,0,-36.4823
3,0.000233999999977641,0.000232000000039534,-36.694414079294,-36.694414079294,-36.694414079294,0,0,0,-36.4823
4,0.000466000000017175,0.102221999999983,-36.694414079294,-36.694414079294,-36.694414079294,0,0,2.7351615999963e-08,-36.4823
5,0.102688000000001,9.09999999976208e-05,-36.694414079294,-36.694414079294,-36.694414079294,0,0,2.7351615999963e-08,-36.4823
6,0.102778999999998,9.69999999824722e-05,56.3906955728641,56.3906955728641,56.3906955728641,0.0167545559502913,-0.0180856475924384,0.00208895956777175,-36.4823
7,0.102875999999981,5.30000000367181e-05,56.2325286051735,56.2325286051735,56.2325286051735,0.0167545559502913,-0.0180856475924384,0.00208895956777175,-36.4823
8,0.102929000000017,0.00034499999998161,56.082636361925,56.082636361925,56.082636361925,0.0165949643532911,-0.0180638073352517,0.00210443974703352,-36.4823
9,0.103273999999999,0.178196000000014,56.0826363646445,56.0826363646445,56.0826363646445,0.0165949643555718,-0.01806380733519,0.00209559077856359,-36.4823
10,0.281470000000013,9.09999999976208e-05,56.0826363646445,56.0826363646445,56.0826363646445,0.0165949643555718,-0.01806380733519,0.00209559077856359,-36.4823
11,0.281561000000011,9.69999999824722e-05,-23.0398248256519,-23.0398248256519,-23.0398248256519,-0.112021905641489,0.00557944628355582,0.0199206480703697,-36.4823
12,0.281657999999993,5.60000000291438e-05,-19.5361107160792,-19.5361107160792,-19.5361107160792,-0.112021905641489,0.00557944628355582,0.0199206480703697,-36.4823
13,0.281714000000022,0.000230999999985215,-21.4499937416486,-21.4499937416486,-21.4499937416486,-0.112653843632575,0.00584473411122863,0.0200018875090934,-36.4823
14,0.281945000000007,9.79999999799475e-05,-21.4499935197067,-21.4499935197067,-21.4499935197067,-0.112653843557759,0.00584473409945507,0.0199801202282589,-36.4823
15,0.282042999999987,9.80000000367909e-05,-26.341633337857,-26.341633337857,-26.341633337857,-0.115624494163635,0.00108216981645924,0.0212653862704703,-36.4823
16,0.282141000000024,5.09999999849242e-05,-26.3302556790017,-26.3302556790017,-26.3302556790017,-0.115624494163635,0.00108216981645924,0.0212653862704703,-36.4823
17,0.282192000000009,0.000233999999977641,-28.2463543047353,-28.2463543047353,-28.2463543047353,-0.116143495049202,0.00126254796519426,0.0213436740084605,-36.4823
18,0.282425999999987,9.00000000001455e-05,-28.2463540819448,-28.2463540819448,-28.2463540819448,-0.116143494986662,0.00126254795522041,0.0213203342289064,-36.4823
19,0.282515999999987,9.70000000393156e-05,-31.8290940242019,-31.8290940242019,-31.8290940242019,-0.116927749500223,-5.44950491525641e-05,0.0216690596954987,-36.4823
20,0.282613000000026,5.39999999773499e-05,-31.8167396983612,-31.8167396983612,-31.8167396983612,-0.116927749500223,-5.44950491525641e-05,0.0216690596954987,-36.4823
21,0.282667000000004,0.000234999999975116,-33.6745930815071,-33.6745930815071,-33.6745930815071,-0.11740053619143,8.89518929593714e-05,0.0217460435721823,-36.4823
22,0.282901999999979,9.70000000393156e-05,-33.6745928666431,-33.6745928666431,-33.6745928666431,-0.117400536133213,8.89518837577929e-05,0.0217211514931581,-36.4823
23,0.282999000000018,9.29999999925712e-05,-35.9426019229027,-35.9426019229027,-35.9426019229027,-0.117598568481956,-0.000303932401067949,0.0218186796969947,-36.4823
24,0.283092000000011,5.49999999748252e-05,-35.9294663578793,-35.9294663578793,-35.9294663578793,-0.117598568481956,-0.000303932401067949,0.0218186796969947,-36.4823
25,0.283146999999985,0.000234000000034484,-37.713159760525,-37.713159760525,-37.713159760525,-0.118050872620664,-0.000177943414672764,0.0218951782876421,-36.4823
26,0.28338100000002,9.00000000001455e-05,-37.7131595567963,-37.7131595567963,-37.7131595567963,-0.118050872563941,-0.000177943423590289,0.0218687424152293,-36.4823
