0,-0.95,-0.08,-0.053,-0.965,-0.086,0.02,-1.158817533,0.119877676,-0.399592253,0.029,-0.024,-0.012,0.007,0.001,-0.006,93.761,-2.74,-51.898,67.237,100520,27.24,,
19942,-0.95,-0.079,-0.058,-0.965,-0.055,-0.004,-1.118858308,0.119877676,-0.519469929,0.027,-0.022,-0.012,0.007,0.001,-0.006,93.761,-2.74,-51.898,67.237,100520,27.24,,
97521,-0.953,-0.074,-0.047,-0.98,-0.023,0.043,-1.118858308,0.119877676,-0.559429154,0.022,-0.017,-0.01,0.007,0.001,-0.006,94.498,-3.105,-51.529,67.237,100520,27.25,,
98318,-0.951,-0.072,-0.045,-0.98,-0.023,0.043,-1.118858308,0.119877676,-0.559429154,0.022,-0.024,-0.01,0.005,-0.001,-0.003,94.498,-3.105,-51.529,67.237,100520,27.25,,
99917,-0.951,-0.072,-0.044,-0.98,-0.023,0.043,-1.118858308,0.119877676,-0.559429154,-0.01,-0.02,-0.012,-0.01,0.002,-0.003,94.498,-3.105,-51.529,67.237,100520,27.25,,
119917,-0.951,-0.071,-0.052,-0.957,-0.008,-0.051,-1.158817533,0.079918451,-0.599388379,0.005,-0.024,-0.01,-0.002,-0.003,-0.003,94.498,-3.105,-51.529,67.237,100520,27.24,,
139917,-0.951,-0.079,-0.049,-0.98,-0.031,-0.012,-1.118858308,0.079918451,-0.479510703,0.015,-0.02,-0.01,-0.014,-0.009,-0.002,94.13,-3.106,-50.739,67.153,100521,27.25,,
159917,-0.949,-0.074,-0.056,-0.965,-0.062,-0.004,-1.118858308,0.079918451,-0.479510703,0.005,-0.024,-0.01,-0.014,-0.009,-0.002,94.863,-3.106,-51.131,67.153,100521,27.25,,
238201,-0.954,-0.079,-0.057,-0.957,-0.07,0.02,-1.078899083,0.119877676,-0.559429154,-0.012,-0.024,-0.01,-0.014,-0.009,-0.002,94.861,-2.74,-50.341,67.404,100518,27.25,,
239097,-0.952,-0.081,-0.054,-0.972,-0.055,-0.004,-1.078899083,0.119877676,-0.559429154,0.024,-0.022,-0.01,-0.001,0.004,-0.005,94.861,-2.74,-50.341,67.404,100518,27.25,,
239917,-0.95,-0.081,-0.052,-0.972,-0.055,-0.004,-1.078899083,0.119877676,-0.559429154,0.015,-0.015,-0.007,-0.003,0.005,0.001,94.861,-2.74,-50.341,67.404,100518,27.25,,
259994,-0.953,-0.07,-0.051,-1.004,0.008,-0.004,-1.158817533,0.119877676,-0.599388379,0.027,-0.017,-0.012,0.014,-0.004,0,94.861,-3.472,-50.341,67.656,100515,27.25,,
279994,-0.956,-0.071,-0.05,-0.941,-0.039,0.035,-1.158817533,0.119877676,-0.599388379,0.005,-0.017,-0.01,-0.007,0.002,0.002,94.861,-3.472,-50.341,66.985,100523,27.25,,
299995,-0.951,-0.078,-0.051,-0.949,-0.023,0.004,-2.317635066,0.119877676,-0.559429154,-0.002,-0.022,-0.007,0.011,0,-0.006,95.229,-3.106,-49.957,66.985,100523,27.25,,
320111,-0.95,-0.076,-0.059,-0.965,0,0.02,-1.118858308,0.079918451,-0.479510703,0.005,-0.022,-0.007,0.011,0,-0.006,94.495,-3.106,-50.732,67.069,100522,27.25,,
399177,-0.952,-0.079,-0.061,-0.965,-0.031,-0.027,-1.238735984,0.039959225,-0.559429154,0.005,-0.022,-0.007,0.011,0,-0.006,95.598,-3.472,-50.363,67.404,100518,27.25,,
400047,-0.952,-0.081,-0.055,-0.98,-0.094,-0.051,-1.238735984,0.039959225,-0.559429154,-0.005,-0.017,-0.01,-0.01,0.003,-0.005,95.598,-3.472,-50.363,67.404,100518,27.25,,
400624,-0.952,-0.081,-0.055,-0.98,-0.094,-0.051,-1.238735984,0.039959225,-0.559429154,0.027,-0.022,-0.015,-0.009,-0.002,-0.003,95.598,-3.472,-50.363,67.404,100518,27.25,,
420070,-0.948,-0.085,-0.06,-0.949,-0.086,-0.035,-1.158817533,0.199796126,-0.599388379,0.012,-0.022,-0.012,-0.007,0.004,0,94.13,-3.472,-50.348,67.404,100518,27.25,,
439995,-0.951,-0.078,-0.052,-0.965,-0.078,0.035,-1.158817533,0.199796126,-0.599388379,0.022,-0.015,-0.012,0.003,0.003,-0.007,94.13,-3.472,-50.348,67.069,100522,27.25,,
459917,-0.952,-0.076,-0.053,-0.996,-0.062,-0.004,-2.437512742,0.039959225,-0.559429154,0.012,-0.022,-0.005,-0.005,0,-0.003,95.597,-4.205,-51.138,67.069,100522,27.25,,
479917,-0.949,-0.075,-0.05,-0.941,-0.062,-0.027,-1.158817533,0,-0.559429154,0.034,-0.022,-0.01,0.002,-0.004,0.002,95.597,-4.205,-51.138,67.404,100518,27.25,,
557631,-0.947,-0.075,-0.059,-0.949,-0.055,-0.074,-2.437512742,0.079918451,-0.439551478,0.024,-0.022,-0.012,0.002,-0.004,0.002,95.226,-3.839,-50.725,67.153,100521,27.25,,
558544,-0.947,-0.076,-0.054,-0.949,-0.055,-0.074,-2.437512742,0.079918451,-0.439551478,0.002,-0.024,0,0.004,0,-0.003,95.226,-3.839,-50.725,67.153,100521,27.25,,
559918,-0.952,-0.078,-0.052,-0.949,-0.055,-0.074,-2.437512742,0.079918451,-0.439551478,0.012,-0.02,-0.01,0.011,-0.003,0.001,95.226,-3.839,-50.725,67.153,100521,27.25,,
579999,-0.949,-0.076,-0.051,-0.972,-0.031,-0.097,-1.158817533,0.039959225,-0.599388379,0.02,-0.022,-0.012,0.009,-0.003,-0.002,95.594,-2.373,-51.123,67.153,100521,27.25,,
